product_id,name,URL,description,price,priceID
1,Stripe Shirt,"shirt.glb",Classic and timeless, this striped shirt is a wardrobe staple that effortlessly elevates any outfit with its clean lines and understated sophistication Made from high-quality materials it's a versatile piece that can be dressed up or down for any occasion,999,price_1Msf6bSDDhXa1FG1NUpKSjVv
2,Blue Shirt,"blueshirt.glb",A classic blue shirt that exudes timeless elegance and versatility Perfect for any occasion,999,price_1Msf6bSDDhXa1FG1NUpKSjVv
3, Shirt Vest,"shirt_and_vest.glb",A versatile combination of a shirt and a vest perfect for a sophisticated yet casual look,700,price_1MsRKbSDDhXa1FG1VJpZoaai
4,Dress,"dress.glb",Elevate your style with this stunning green dress. Made with sustainable materials it's the perfect choice for a fashion-forward and environmentally conscious look,5000,price_1Msf8FSDDhXa1FG1Ic3xtfgR
5,Black Dress,"black_dress.glb",The perfect little black dress for any occasion. This frock features a flattering silhouette with a timeless design that will never go out of style,5000,price_1MpwSbSDDhXa1FG1eUZc9o2C
6,Silk Dress,"silk_dress._codename_emerald_hexagon.glb",z,5000,price_1Msf4HSDDhXa1FG1wpFINAsX
7,Party Dress,"redhead_party_dress_girl.glb",z,5000,price_1Msf5ySDDhXa1FG1WgutBWUf
8,Hoodie,"classic_black_flame_hoodie.glb",z,999,price_1MsfkMSDDhXa1FG1TcyXnUdP
9,Pants,"pants.glb",z,5000,price_1Msf8dSDDhXa1FG1JNska0CM
10,Pants2,"pants2.glb",z,5000,price_1Msf8dSDDhXa1FG1JNska0CM
11,mens_caro_flannel,"mens_caro_flannel_shirt.glb",z,5000,price_1MsexrSDDhXa1FG1f5ZOLiBi
